group	value	gene_id
Targets	0.20067516	ENSG00000213445
Targets	0.09460487	ENSG00000175197
Targets	0.07555085	ENSG00000204469
Targets	0.09359351	ENSG00000126458
Targets	-0.18124725	ENSG00000105707
Targets	0.11383572	ENSG00000126368
Targets	0.03139521	ENSG00000183087
Targets	0.118028085	ENSG00000187193
Targets	0.03284274	ENSG00000160799
Targets	0.11683578	ENSG00000147251
Targets	0.1222468	ENSG00000143545
Targets	0.01805582	ENSG00000197933
Targets	0.0630925766667	ENSG00000122257
Targets	-0.04661341	ENSG00000136997
Targets	0.02137257	ENSG00000132323
Targets	0.17512802	ENSG00000102226
Targets	0.231771865	ENSG00000123358
Targets	0.23504022	ENSG00000117318
Targets	0.08397032	ENSG00000027697
Targets	0.21670419	ENSG00000157873
Targets	0.089537	ENSG00000125503
Targets	0.040019475	ENSG00000070047
Targets	0.14448434	ENSG00000174718
Targets	0.13668562	ENSG00000174938
Targets	0.060240955	ENSG00000116871
Targets	0.0645873866667	ENSG00000114315
Targets	0.07953149	ENSG00000008869
Targets	0.16153668	ENSG00000120129
Targets	0.10147738	ENSG00000156983
Targets	0.06458862	ENSG00000065154
Targets	0.08423768	ENSG00000008405
Targets	0.18144017	ENSG00000079432
Targets	0.15640893	ENSG00000125968
Targets	-0.11799669	ENSG00000157613
Targets	0.05648219	ENSG00000168216
Targets	0.0661192	ENSG00000162736
Targets	0.00596225333333	ENSG00000172216
Targets	0.08080622	ENSG00000116266
Targets	0.03640702	ENSG00000196422
Targets	0.190429815	ENSG00000060069
Targets	0.17762065	ENSG00000131669
Targets	0.39773604	ENSG00000115738
Targets	-0.038590885	ENSG00000119139
Targets	0.08544654	ENSG00000169242
Targets	0.0261316	ENSG00000175130
Targets	0.22006767	ENSG00000177303
Targets	0.04733245	ENSG00000100109
Targets	0.18916246	ENSG00000142655
Targets	0.18378242	ENSG00000083857
Targets	0.21080553	ENSG00000141582
Targets	0.5778142	ENSG00000126705
Targets	-0.01196786	ENSG00000179431
Targets	0.24202994	ENSG00000120075
Targets	0.1214133	ENSG00000121104
Targets	0.154698395	ENSG00000168758
Targets	0.08617924	ENSG00000167716
Targets	0.0661782	ENSG00000160271
Targets	0.08284154	ENSG00000152804
Targets	-0.01396599	ENSG00000175556
Targets	0.0190226566667	ENSG00000020256
Targets	0.2713841725	ENSG00000116580
Targets	0.14650174	ENSG00000198793
Targets	0.07633408	ENSG00000139182
Targets	0.13076169	ENSG00000185236
Targets	0.01942956	ENSG00000115310
Targets	-0.002099765	ENSG00000127870
Targets	-0.44337834	ENSG00000128917
Targets	0.1267707625	ENSG00000065526
Targets	0.035751975	ENSG00000143862
Targets	0.03590816	ENSG00000106537
Targets	0.02246569	ENSG00000100906
Targets	-0.028627085	ENSG00000101474
Targets	0.20162345	ENSG00000110514
Targets	0.07237908	ENSG00000147364
Targets	0.10816638	ENSG00000164695
Targets	-0.02110812	ENSG00000175348
Targets	0.13846089	ENSG00000172071
Targets	-0.261568995	ENSG00000052841
Targets	0.074326485	ENSG00000148296
Targets	0.02055274	ENSG00000188313
Targets	0.114373075	ENSG00000105856
Targets	0.07419476	ENSG00000162909
Targets	0.09419136	ENSG00000043355
Targets	0.11382541	ENSG00000132002
Targets	-0.17146234	ENSG00000103326
Targets	0.121018375	ENSG00000109099
Targets	-0.14033523	ENSG00000092820
Targets	-0.03412356	ENSG00000163162
Targets	0.02477049	ENSG00000119715
Targets	0.03635755	ENSG00000102804
Targets	0.07487806	ENSG00000112812
Targets	0.06371464	ENSG00000162298
Targets	0.17778164	ENSG00000134049
Targets	0.08371664	ENSG00000166831
Targets	-0.07683294	ENSG00000101230
Targets	0.02772333	ENSG00000034053
Targets	0.41060969	ENSG00000147050
Targets	0.178187056667	ENSG00000104763
Targets	-0.05317672	ENSG00000177606
Targets	0.175941775	ENSG00000120616
Targets	0.11913754	ENSG00000149177
Targets	0.146823373333	ENSG00000182087
Targets	0.168677	ENSG00000135269
Targets	0.21482629	ENSG00000123636
Targets	0.1723352	ENSG00000167110
Targets	-0.0598291	ENSG00000108262
Targets	-0.043017376	ENSG00000254087
Targets	0.04958522	ENSG00000125304
Targets	0.0492978	ENSG00000109046
Targets	0.12389986	ENSG00000050405
Targets	0.10021274	ENSG00000131435
Targets	-0.02211044	ENSG00000146757
Targets	0.09724254	ENSG00000127561
Targets	0.58888508	ENSG00000120738
Targets	0.145379115	ENSG00000137509
Targets	0.03196285	ENSG00000112787
Targets	0.150553615	ENSG00000125170
Targets	0.08646652	ENSG00000155090
Targets	0.127597645	ENSG00000172432
Targets	-0.035347715	ENSG00000011566
Targets	0.1150006	ENSG00000113583
Targets	0.01911613	ENSG00000144566
Targets	0.06434058	ENSG00000168575
Targets	-0.05322517	ENSG00000001084
Targets	0.01047665	ENSG00000076706
Targets	0.09351095	ENSG00000158747
Targets	0.02324897	ENSG00000134363
Targets	0.14178736	ENSG00000196588
Targets	-0.02741064	ENSG00000163875
Targets	0.143513363333	ENSG00000108557
Targets	0.09882786	ENSG00000171603
Targets	0.135010195	ENSG00000144579
Targets	-0.18189848	ENSG00000164251
Targets	0.027807135	ENSG00000130779
Targets	0.02585214	ENSG00000011304
Targets	0.20318429	ENSG00000068885
Targets	-0.01414811	ENSG00000163527
Targets	0.131346545	ENSG00000034677
Targets	0.02863038	ENSG00000101665
Targets	0.11688956	ENSG00000181027
Targets	0.278456085	ENSG00000197081
Targets	0.16450162	ENSG00000102996
Targets	-0.5506857	ENSG00000154080
Targets	0.10768221	ENSG00000111907
Targets	0.00264413	ENSG00000160014
Targets	-0.03727303	ENSG00000009335
Targets	0.088407775	ENSG00000102554
Targets	-0.0629328233333	ENSG00000196937
Targets	0.01708047	ENSG00000068078
Targets	-0.59363404	ENSG00000139292
Targets	-0.00486474	ENSG00000131873
Targets	0.073269635	ENSG00000008130
Targets	0.07532358	ENSG00000159200
Targets	0.0615994	ENSG00000148400
Targets	0.110908823333	ENSG00000196792
Targets	-0.02099447	ENSG00000101150
Targets	0.163056016	ENSG00000156650
Targets	-0.06380694	ENSG00000170448
Targets	0.011139675	ENSG00000131165
Targets	0.11346367	ENSG00000171867
Targets	0.068874611	ENSG00000164305
Targets	0.02009654	ENSG00000119541
Targets	0.208552835	ENSG00000143126
Targets	-0.023317305	ENSG00000085721
Targets	0.07429791	ENSG00000184916
Targets	0.08102765	ENSG00000012660
Targets	0.03519103	ENSG00000054598
Targets	0.068231	ENSG00000135097
Targets	0.025032465	ENSG00000198915
Targets	0.059591475	ENSG00000189067
Targets	0.02528984	ENSG00000198959
Targets	0.00958523	ENSG00000164830
Targets	-0.003711115	ENSG00000044574
Targets	0.11942431	ENSG00000165802
Targets	0.14267978	ENSG00000130449
Targets	0.05645955	ENSG00000161526
Targets	0.01048042	ENSG00000154734
Targets	-0.000536545	ENSG00000108639
Targets	0.12138752	ENSG00000186834
Targets	0.04347338	ENSG00000162734
Targets	-0.02371576	ENSG00000006453
Targets	0.176854093333	ENSG00000115806
Targets	0.22094865	ENSG00000205213
Targets	-0.06186491	ENSG00000038427
Targets	0.008355695	ENSG00000165355
Targets	-0.7597018	ENSG00000184937
Targets	0.21512995	ENSG00000116731
Targets	-0.206928065	ENSG00000112874
Targets	0.139247475	ENSG00000157240
Targets	0.04432524	ENSG00000066629
Targets	0.0537946466667	ENSG00000173334
Targets	-5.4255e-05	ENSG00000111737
Targets	0.31102801	ENSG00000136842
Targets	-0.07325662	ENSG00000181751
Targets	0.1197370025	ENSG00000198814
Targets	0.16963143	ENSG00000153339
Targets	0.13624236	ENSG00000112033
Targets	0.045366955	ENSG00000141551
Targets	0.0893888366667	ENSG00000221978
Targets	-0.00544261	ENSG00000129911
Targets	0.08238413	ENSG00000100241
Targets	-0.010843725	ENSG00000158321
Targets	-0.328328827	ENSG00000157404
Targets	0.32787656	ENSG00000004799
Targets	0.1486515	ENSG00000241839
Targets	0.09225963	ENSG00000108669
Targets	0.13420808	ENSG00000155760
Targets	0.01817619	ENSG00000130340
Targets	0.236754285	ENSG00000082074
Targets	0.00523308	ENSG00000091129
Targets	0.071693565	ENSG00000173064
Targets	0.033831245	ENSG00000110048
Targets	-0.52891953	ENSG00000134755
Targets	0.027398325	ENSG00000046604
Targets	-0.0260034683333	ENSG00000105976
Targets	0.1321183	ENSG00000130749
Targets	0.0128177825	ENSG00000110075
Targets	0.13151499	ENSG00000181104
Targets	0.00349186	ENSG00000146830
Targets	0.09406392	ENSG00000125347
Targets	0.19113337	ENSG00000184384
Targets	0.03965696	ENSG00000134910
Targets	0.029537145	ENSG00000197037
Targets	0.126318235	ENSG00000140332
Targets	-0.437964405	ENSG00000204519
Targets	0.112131515	ENSG00000121481
Targets	0.0321805866667	ENSG00000166454
Targets	-0.12457525	ENSG00000101670
Targets	0.01070024	ENSG00000146083
Targets	0.11701264	ENSG00000130164
Targets	0.06025265	ENSG00000084676
Targets	0.18631638	ENSG00000184545
Targets	0.135983	ENSG00000139718
Targets	-0.06503401	ENSG00000119707
Targets	0.08134634	ENSG00000074755
Targets	0.045969715	ENSG00000157107
Targets	0.09459476	ENSG00000176597
Targets	-0.07235117	ENSG00000105971
Targets	0.073485655	ENSG00000106078
Targets	0.016868745	ENSG00000011007
Targets	0.045745955	ENSG00000155304
Targets	-0.00702863	ENSG00000185950
Targets	0.037395845	ENSG00000071564
Targets	-0.025685585	ENSG00000163347
Targets	0.02744787	ENSG00000065809
Targets	-0.345648823333	ENSG00000069020
Targets	0.07590292	ENSG00000165915
Targets	0.47497194	ENSG00000121281
Targets	-0.13692261	ENSG00000005020
Targets	0.03901811	ENSG00000181744
Targets	-0.01190351	ENSG00000106299
Targets	0.02305855	ENSG00000069424
Targets	0.069090145	ENSG00000183723
Targets	0.063611955	ENSG00000042429
Targets	0.14770108	ENSG00000142599
Targets	0.06460123	ENSG00000132294
Targets	0.05276866	ENSG00000158805
Targets	-0.0188033133333	ENSG00000141644
Targets	0.03434437	ENSG00000143641
Targets	0.195772685833	ENSG00000005339
Targets	-0.01350956	ENSG00000118200
Targets	0.07405165	ENSG00000176490
Targets	0.10886424	ENSG00000182771
Targets	-0.05832753	ENSG00000178538
Targets	0.255987365	ENSG00000168743
Targets	0.040646245	ENSG00000185551
Targets	0.0801711466667	ENSG00000005893
