group	value	gene_id
Targets	0.147	ENSG00000213445
Targets	-0.179	ENSG00000175197
Targets	0.006	ENSG00000204469
Targets	-0.299	ENSG00000126458
Targets	-0.4	ENSG00000105707
Targets	-0.1025001465	ENSG00000183087
Targets	-0.037645	ENSG00000187193
Targets	0.182	ENSG00000160799
Targets	0.1937	ENSG00000147251
Targets	-0.577	ENSG00000143545
Targets	0.0649	ENSG00000197933
Targets	0.0217	ENSG00000122257
Targets	-0.0181	ENSG00000136997
Targets	0.307	ENSG00000132323
Targets	-0.011	ENSG00000102226
Targets	0.355666666667	ENSG00000123358
Targets	0.172	ENSG00000117318
Targets	0.129733333333	ENSG00000027697
Targets	0.0902	ENSG00000157873
Targets	0.159366666667	ENSG00000125503
Targets	0.157	ENSG00000070047
Targets	0.192	ENSG00000174718
Targets	-0.17604	ENSG00000174938
Targets	0.155	ENSG00000116871
Targets	-0.14328	ENSG00000114315
Targets	0.11245	ENSG00000008869
Targets	0.283666666667	ENSG00000120129
Targets	-0.113	ENSG00000156983
Targets	0.156	ENSG00000065154
Targets	0.109	ENSG00000008405
Targets	-0.0535	ENSG00000079432
Targets	0.249	ENSG00000125968
Targets	-0.2505	ENSG00000157613
Targets	0.0284	ENSG00000168216
Targets	0.12205	ENSG00000162736
Targets	-0.232	ENSG00000172216
Targets	0.13	ENSG00000116266
Targets	0.399	ENSG00000196422
Targets	-0.0434	ENSG00000060069
Targets	-0.0693	ENSG00000131669
Targets	0.888	ENSG00000115738
Targets	0.029275	ENSG00000119139
Targets	-0.0906	ENSG00000169242
Targets	0.0215	ENSG00000175130
Targets	-0.367	ENSG00000072182
Targets	-0.0777	ENSG00000177303
Targets	0.1314	ENSG00000100109
Targets	0.164	ENSG00000142655
Targets	0.0201	ENSG00000083857
Targets	-0.001	ENSG00000141582
Targets	-0.0626333333333	ENSG00000126705
Targets	0.531	ENSG00000179431
Targets	0.007	ENSG00000120075
Targets	-0.131	ENSG00000121104
Targets	-0.3875	ENSG00000168758
Targets	-0.0626	ENSG00000167716
Targets	0.137	ENSG00000160271
Targets	0.36	ENSG00000152804
Targets	0.0975	ENSG00000175556
Targets	0.3802825	ENSG00000020256
Targets	0.1186	ENSG00000116580
Targets	-0.08675	ENSG00000198793
Targets	0.0444	ENSG00000139182
Targets	0.13335	ENSG00000185236
Targets	0.03375	ENSG00000115310
Targets	0.242333333333	ENSG00000127870
Targets	-0.156	ENSG00000128917
Targets	0.02845	ENSG00000065526
Targets	0.247	ENSG00000143862
Targets	0.0192	ENSG00000106537
Targets	-0.02435	ENSG00000100906
Targets	0.078	ENSG00000101474
Targets	-0.105	ENSG00000110514
Targets	0.0368	ENSG00000147364
Targets	0.231	ENSG00000164695
Targets	0.345	ENSG00000175348
Targets	0.0902	ENSG00000172071
Targets	-0.00118333333333	ENSG00000052841
Targets	0.426	ENSG00000148296
Targets	-0.12329	ENSG00000188313
Targets	-0.1641	ENSG00000105856
Targets	-0.3275	ENSG00000162909
Targets	-0.028	ENSG00000043355
Targets	-0.0095	ENSG00000132002
Targets	0.20155	ENSG00000103326
Targets	0.09294775	ENSG00000109099
Targets	0.4804	ENSG00000092820
Targets	0.0837	ENSG00000163162
Targets	0.0683333333333	ENSG00000119715
Targets	0.02425	ENSG00000102804
Targets	0.0233	ENSG00000112812
Targets	0.224	ENSG00000134049
Targets	-0.566	ENSG00000166831
Targets	0.28105	ENSG00000101230
Targets	-0.239	ENSG00000034053
Targets	-0.003075	ENSG00000147050
Targets	0.077402	ENSG00000104763
Targets	-0.02695	ENSG00000177606
Targets	0.028975	ENSG00000120616
Targets	-0.268333333333	ENSG00000149177
Targets	0.0844166666667	ENSG00000182087
Targets	0.181166666667	ENSG00000135269
