group	value	gene_id
Targets	-0.050848945	ENSG00000197081
Targets	0.126315271	ENSG00000102996
Targets	-0.00205735	ENSG00000111907
Targets	0.01108069575	ENSG00000160014
Targets	-0.056620677	ENSG00000009335
Targets	-0.048781066	ENSG00000102554
Targets	-0.013047019	ENSG00000196937
Targets	0.185190953	ENSG00000068078
Targets	-0.10642115	ENSG00000139292
Targets	-0.023940574	ENSG00000131873
Targets	0.191227245	ENSG00000008130
Targets	-0.051847514	ENSG00000159200
Targets	0.502101207	ENSG00000148400
Targets	-0.086425546	ENSG00000196792
Targets	2.9e-05	ENSG00000101150
Targets	-0.062583877	ENSG00000156650
Targets	-0.041436597	ENSG00000170448
Targets	0.090219306	ENSG00000131165
Targets	-0.042944882	ENSG00000171867
Targets	-0.120025623	ENSG00000164305
Targets	-0.037089049	ENSG00000119541
Targets	0.149225969	ENSG00000143126
Targets	-0.022927201	ENSG00000187164
Targets	-0.124620203	ENSG00000085721
Targets	0.022702251	ENSG00000184916
Targets	-0.025302183	ENSG00000012660
Targets	0.12522444	ENSG00000054598
Targets	-0.014037834	ENSG00000135097
Targets	-0.094860753	ENSG00000133872
Targets	0.053290813	ENSG00000198915
Targets	-0.004990344	ENSG00000189067
Targets	0.205875484	ENSG00000198959
Targets	0.227761815	ENSG00000127948
Targets	-0.089041865	ENSG00000164830
Targets	-0.000899686	ENSG00000044574
Targets	0.255913122	ENSG00000165802
Targets	0.028604109	ENSG00000130449
Targets	-0.007114197	ENSG00000161526
Targets	-0.212534999	ENSG00000154734
Targets	0.185084837	ENSG00000108639
Targets	0.216284345	ENSG00000186834
Targets	0.036960037	ENSG00000162734
Targets	0.016577505	ENSG00000006453
Targets	0.069603102	ENSG00000115806
Targets	-0.077186762	ENSG00000205213
Targets	-0.134304677	ENSG00000038427
Targets	-0.081308575	ENSG00000165355
Targets	0.055253316	ENSG00000184937
Targets	0.004610143	ENSG00000116731
Targets	-0.098086902	ENSG00000112874
Targets	0.058740416	ENSG00000157240
Targets	-0.202920098	ENSG00000066629
Targets	0.119921787	ENSG00000173334
Targets	0.215095027	ENSG00000111737
Targets	0.154295791	ENSG00000136842
Targets	-0.273902914	ENSG00000181751
Targets	0.052640337	ENSG00000198814
Targets	-0.116126278	ENSG00000153339
Targets	0.099789466	ENSG00000112033
Targets	0.092289206	ENSG00000141551
Targets	0.04559912	ENSG00000221978
Targets	0.164450825	ENSG00000129911
Targets	0.245398481	ENSG00000100241
Targets	0.067701546	ENSG00000158321
Targets	0.294717405	ENSG00000004799
Targets	-0.00097608	ENSG00000241839
Targets	0.126976211	ENSG00000108669
Targets	0.111534178	ENSG00000155760
Targets	-0.027381423	ENSG00000130340
Targets	-0.202391044	ENSG00000091129
Targets	0.024307774	ENSG00000110048
Targets	0.08797849	ENSG00000134755
Targets	-0.098216473	ENSG00000046604
Targets	-0.090626944	ENSG00000105976
Targets	0.111800207	ENSG00000130749
Targets	-0.022266992	ENSG00000110075
Targets	0.020495977	ENSG00000181104
Targets	0.28560321	ENSG00000146830
Targets	-0.045418342	ENSG00000125347
Targets	0.019782577	ENSG00000184384
Targets	-0.025363162	ENSG00000134910
Targets	-0.155975113	ENSG00000197037
Targets	0.203142497	ENSG00000140332
Targets	-0.112402065	ENSG00000204519
Targets	-0.102646297	ENSG00000121481
Targets	-0.050211902	ENSG00000166454
Targets	0.036215735	ENSG00000136653
Targets	0.150518286	ENSG00000146083
Targets	0.008021066	ENSG00000130164
Targets	0.055939933	ENSG00000084676
Targets	0.470397134	ENSG00000184545
