"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0008099"	"0.00000677"	"2.14e-10"	"-7.2722316"	"ABCA12"
"PH_hs_0018211"	"0.00001324"	"1.79e-09"	"-6.3683977"	"LCE1B"
"PH_hs_0030847"	"0.00001324"	"2.06e-09"	"-5.2132117"	"CYP4F2|CYP4F3"
"PH_hs_0023310"	"0.00001324"	"2.16e-09"	"-4.8849952"	"INPP5D"
"PH_hs_0020958"	"0.00001324"	"2.36e-09"	"-4.6606059"	"APOBEC3H"
"PH_hs_0005822"	"0.00001324"	"2.71e-09"	"4.424537"	"HJURP"
"PH_hs_0047773"	"0.00001324"	"3.13e-09"	"-5.2539346"	"PDE4C"
"PH_hs_0042403"	"0.00001324"	"3.34e-09"	"4.635403"	"FAM64A"
"PH_hs_0027140"	"0.00001413"	"4.01e-09"	"4.1509789"	"RAD54L"
"PH_hs_0004784"	"0.00001426"	"4.49e-09"	"4.6394666"	"TSPAN8"
"PH_hs_0047600"	"0.00001692"	"5.87e-09"	"4.5233596"	"ADAMTS18"
"PH_hs_0043711"	"0.00001889"	"8.15e-09"	"-4.2954798"	"ACTA2"
"PH_hs_0004332"	"0.00001889"	"8.71e-09"	"-4.4471089"	"TP53INP1"
"PH_hs_0000216"	"0.00001889"	"8.76e-09"	"4.522665"	"CENPA"
"PH_hs_0048904"	"0.00001889"	"8.93e-09"	"-5.0563623"	"CYGB"
"PH_hs_0018997"	"0.00001998"	"1.01e-08"	"-4.0975757"	"LINC00163"
"PH_hs_0001378"	"0.00002038"	"1.09e-08"	"4.0252407"	"CEP55"
"PH_hs_0027108"	"0.0000208"	"1.21e-08"	"3.8846431"	"CDCA3"
"PH_hs_0031033"	"0.0000208"	"1.35e-08"	"4.8195194"	"GKN2"
"PH_hs_0049252"	"0.0000208"	"1.36e-08"	"-3.780768"	"ELOVL2"
"PH_hs_0004780"	"0.0000208"	"1.38e-08"	"-4.1369279"	"PMEPA1"
"PH_hs_0031888"	"0.00002931"	"2.06e-08"	"-3.5253825"	"LPAR5"
"PH_hs_0048095"	"0.00002931"	"2.13e-08"	"-3.5019138"	"KLHDC7A"
"PH_hs_0044814"	"0.00003186"	"2.63e-08"	"3.5557269"	"KIF4A"
"PH_hs_0049129"	"0.00003186"	"2.64e-08"	"-3.8628037"	"AFF3"
"PH_hs_0016073"	"0.00003186"	"2.67e-08"	"-3.5169529"	"KANK3"
"PH_hs_0008587"	"0.00003186"	"2.79e-08"	"3.1987523"	"DUSP9"
"PH_hs_0004815"	"0.00003186"	"2.87e-08"	"4.3502243"	"CCNA2"
"PH_hs_0002720"	"0.00003186"	"3.03e-08"	"-3.5684121"	"ASPA"
"PH_hs_0000388"	"0.00003186"	"3.17e-08"	"3.7176388"	"KIF14"
"PH_hs_0005815"	"0.00003186"	"3.32e-08"	"3.2301994"	"PBK"
"PH_hs_0004651"	"0.00003186"	"3.35e-08"	"4.205155"	"MKI67"
"PH_hs_0005914"	"0.00003186"	"3.37e-08"	"-3.4115381"	""
"PH_hs_0015269"	"0.00003186"	"3.43e-08"	"-3.7425348"	"TMEM71"
"PH_hs_0006705"	"0.00003186"	"3.52e-08"	"3.5609498"	"ASPM"
"PH_hs_0049279"	"0.00003396"	"3.85e-08"	"3.9153478"	"RRM2"
"PH_hs_0010330"	"0.00003582"	"4.24e-08"	"3.1249777"	"ARHGAP11A"
"PH_hs_0048432"	"0.00003582"	"4.29e-08"	"3.7772239"	"BIRC5"
"PH_hs_0045263"	"0.00003582"	"4.43e-08"	"-3.809659"	"previous version conserved probe"
"PH_hs_0049364"	"0.00003582"	"4.52e-08"	"-3.453238"	"AS3MT|C10orf32-AS3MT"
"PH_hs_0011680"	"0.00003584"	"4.63e-08"	"-3.8110494"	"PFKFB4"
"PH_hs_0023142"	"0.00003661"	"5.04e-08"	"3.5214433"	"RRM2"
"PH_hs_0029025"	"0.00003661"	"5.09e-08"	"-3.2628109"	"previous version conserved probe"
"PH_hs_0047316"	"0.00003661"	"5.22e-08"	"-3.7387216"	"BATF2"
"PH_hs_0013052"	"0.00003661"	"5.53e-08"	"-3.8866553"	"SIGLEC9"
"PH_hs_0044395"	"0.00003661"	"5.59e-08"	"-3.3710874"	"TMEM229B"
"PH_hs_0060725"	"0.00003661"	"5.77e-08"	"-4.3242855"	"ZMAT3"
"PH_hs_0043415"	"0.00003661"	"5.81e-08"	"-4.86116"	"LCE1E"
"PH_hs_0060844"	"0.00003661"	"6.01e-08"	"4.9822"	"DIO2"
"PH_hs_0015626"	"0.00003661"	"6.06e-08"	"-3.3635408"	"BEST4"
"PH_hs_0024652"	"0.00003661"	"6.28e-08"	"3.2610713"	"NEIL3"
"PH_hs_0037497"	"0.00003661"	"6.51e-08"	"3.9556397"	"KRTAP2-3"
"PH_hs_0036878"	"0.00003661"	"6.54e-08"	"5.67247"	"PIF1"
"PH_hs_0062256"	"0.00003661"	"6.56e-08"	"-3.5642396"	"CGB7|CGB|CGB5|CGB8"
"PH_hs_0001707"	"0.00003661"	"6.57e-08"	"3.1853033"	"previous version conserved probe"
"PH_hs_0044594"	"0.00003661"	"6.60e-08"	"3.4173493"	"UBE2C"
"PH_hs_0032284"	"0.00003661"	"6.60e-08"	"-4.4713015"	"PRSS57"
"PH_hs_0031875"	"0.00003661"	"6.79e-08"	"3.6174126"	"NEK2"
"PH_hs_0002907"	"0.00003661"	"6.98e-08"	"3.1178446"	"BUB1B"
"PH_hs_0043830"	"0.00003661"	"7.08e-08"	"3.3822122"	"CDC25C"
"PH_hs_0025861"	"0.00003661"	"7.12e-08"	"3.6658016"	"AURKB"
"PH_hs_0027449"	"0.00003661"	"7.16e-08"	"3.7291416"	"NDC80"
"PH_hs_0003590"	"0.00003662"	"7.27e-08"	"-3.3709962"	"C1orf51"
"PH_hs_0049084"	"0.00003673"	"7.41e-08"	"3.2200972"	"SLC12A8"
"PH_hs_0043554"	"0.00003697"	"7.57e-08"	"-2.9884639"	"MDM2"
"PH_hs_0032688"	"0.00003772"	"7.91e-08"	"4.2570296"	"PLK1"
"PH_hs_0001664"	"0.00003772"	"8.07e-08"	"-3.3376847"	"PLA2G4C"
"PH_hs_0031046"	"0.00003772"	"8.12e-08"	"3.2943363"	"previous version conserved probe"
"PH_hs_0036991"	"0.00003772"	"8.34e-08"	"-3.4789677"	"previous version conserved probe"
"PH_hs_0062237"	"0.00003772"	"8.39e-08"	"-3.248046"	"AS3MT|C10orf32-AS3MT"
"PH_hs_0004952"	"0.00003772"	"8.52e-08"	"2.9801699"	"SKA3"
"PH_hs_0035316"	"0.00003772"	"8.56e-08"	"3.883149"	"CENPA"
"PH_hs_0046262"	"0.00003801"	"8.92e-08"	"3.0336434"	"ASB9"
"PH_hs_0007495"	"0.00003801"	"8.94e-08"	"-3.9433152"	"COX8C"
"PH_hs_0047185"	"0.00003801"	"8.99e-08"	"-3.1996131"	""
"PH_hs_0044899"	"0.00003831"	"9.23e-08"	"-3.1453556"	"CCBP2"
"PH_hs_0049303"	"0.00003831"	"9.30e-08"	"3.6941088"	"CCNA2"
"PH_hs_0044466"	"0.00003865"	"9.50e-08"	"3.1467441"	"KIAA0101"
"PH_hs_0012793"	"0.00003883"	"9.67e-08"	"3.7489019"	"NUF2"
"PH_hs_0018068"	"0.00003922"	"1.00e-07"	"3.1541015"	"CDCA2"
"PH_hs_0014293"	"0.00003922"	"1.02e-07"	"-4.5408922"	"IFI27"
"PH_hs_0049280"	"0.00003922"	"1.02e-07"	"4.3661668"	"ITFG2"
"PH_hs_0028863"	"0.00003922"	"1.03e-07"	"2.8851551"	"MLF1IP"
"PH_hs_0020095"	"0.00003922"	"1.05e-07"	"3.3247415"	"GINS2"
"PH_hs_0060995"	"0.00003922"	"1.06e-07"	"3.4540451"	"MCM10"
"PH_hs_0018925"	"0.00003922"	"1.06e-07"	"4.2757682"	"FABP4"
"PH_hs_0012746"	"0.00004002"	"1.10e-07"	"4.9455065"	"C11orf86"
"PH_hs_0010858"	"0.00004002"	"1.11e-07"	"2.7732837"	"MELK"
"PH_hs_0004207"	"0.00004325"	"1.21e-07"	"3.7550691"	"KIF20A"
"PH_hs_0009437"	"0.00004365"	"1.24e-07"	"3.4614049"	"TOP2A"
"PH_hs_0032781"	"0.00004449"	"1.28e-07"	"2.9373288"	"SH2D1B"
"PH_hs_0018590"	"0.00004449"	"1.29e-07"	"3.4721795"	"previous version conserved probe"
"PH_hs_0031668"	"0.00004458"	"1.31e-07"	"-2.8861923"	"LOC100131551"
"PH_hs_0003563"	"0.00004539"	"1.34e-07"	"-3.3213505"	"LAMC2"
"PH_hs_0062422"	"0.00004575"	"1.37e-07"	"-2.8941719"	"LOC101059921"
"PH_hs_0062258"	"0.00004575"	"1.38e-07"	"-3.6315303"	"CGB8|CGB|CGB5|CGB7"
"PH_hs_0004101"	"0.00004597"	"1.42e-07"	"3.1253165"	"KIF2C"
"PH_hs_0062099"	"0.00004597"	"1.42e-07"	"-3.4177833"	"ANXA8|ANXA8L2|ANXA8L1"
"PH_hs_0046180"	"0.00004614"	"1.44e-07"	"3.3334916"	"WDR76"
"PH_hs_0025556"	"0.0000469"	"1.48e-07"	"-3.3882169"	"GRIN2C"
"PH_hs_0044938"	"0.00004866"	"1.57e-07"	"-2.8876851"	"SIRT4"
"PH_hs_0033144"	"0.00004866"	"1.57e-07"	"3.5499838"	"CDC6"
"PH_hs_0015253"	"0.00004866"	"1.58e-07"	"-2.6694802"	"ALS2CL"
"PH_hs_0047958"	"0.00004899"	"1.62e-07"	"-4.167325"	"TNFRSF10D"
"PH_hs_0044943"	"0.00004899"	"1.63e-07"	"3.6723752"	"CDC20"
"PH_hs_0008340"	"0.00004899"	"1.64e-07"	"-2.8330539"	"ZNF337"
"PH_hs_0009255"	"0.0000494"	"1.67e-07"	"2.9134389"	"CHTF18"
"PH_hs_0043448"	"0.0000505"	"1.72e-07"	"-3.7596465"	"FAM228B"
"PH_hs_0019754"	"0.00005074"	"1.76e-07"	"3.3834358"	"SPC25"
"PH_hs_0047385"	"0.00005074"	"1.76e-07"	"3.3204786"	"SGOL1"
"PH_hs_0020362"	"0.0000517"	"1.81e-07"	"3.1701914"	"CDCA5"
"PH_hs_0001541"	"0.0000519"	"1.83e-07"	"4.2742929"	"GKN2"
"PH_hs_0004975"	"0.00005236"	"1.86e-07"	"3.7139245"	"ERCC6L"
"PH_hs_0019221"	"0.00005248"	"1.89e-07"	"3.5716947"	"previous version conserved probe"
"PH_hs_0009600"	"0.00005279"	"1.93e-07"	"-3.3800965"	"GALR2"
"PH_hs_0031144"	"0.00005279"	"1.93e-07"	"-3.6168468"	"HMCN2"
"PH_hs_0028950"	"0.00005314"	"1.96e-07"	"-2.766516"	"CCT6B"
"PH_hs_0012892"	"0.0000551"	"2.05e-07"	"-2.9922542"	"ANKRA2"
"PH_hs_0022625"	"0.00005533"	"2.08e-07"	"-3.251133"	"ABCA1"
"PH_hs_0047269"	"0.00005624"	"2.13e-07"	"2.9742372"	"ESCO2"
"PH_hs_0019212"	"0.00005667"	"2.18e-07"	"-2.9851914"	"ISYNA1"
"PH_hs_0062047"	"0.00005667"	"2.18e-07"	"-3.4684379"	"CGB|CGB5|CGB7|CGB8"
"PH_hs_0027499"	"0.00005674"	"2.20e-07"	"2.6062864"	"CES1|LOC100653057|LOC100653086|CES1P2"
"PH_hs_0047028"	"0.00005683"	"2.22e-07"	"-3.6419388"	"PTCHD4"
"PH_hs_0014995"	"0.00005696"	"2.24e-07"	"2.7667765"	"METTL7A"
"PH_hs_0005170"	"0.00005795"	"2.31e-07"	"3.2647711"	"E2F8"
"PH_hs_0049475"	"0.00005795"	"2.32e-07"	"3.1288889"	"UGT1A1|UGT1A6|UGT1A10|UGT1A8|UGT1A4|UGT1A3|UGT1A7|UGT1A9|UGT1A5"
"PH_hs_0001349"	"0.00005957"	"2.43e-07"	"-2.7761223"	"SESN1"
"PH_hs_0043419"	"0.00005957"	"2.46e-07"	"-3.4766044"	"FAM183A"
"PH_hs_0023045"	"0.00005957"	"2.46e-07"	"2.5506801"	"FANCD2"
"PH_hs_0034664"	"0.00005957"	"2.48e-07"	"3.074328"	"NCAPG"
"PH_hs_0008541"	"0.00005957"	"2.49e-07"	"-2.455627"	"PLA2G10"
"PH_hs_0012664"	"0.00005957"	"2.51e-07"	"-2.5381121"	"BCL2A1"
"PH_hs_0047524"	"0.00005957"	"2.52e-07"	"-2.8789398"	"CTSO"
"PH_hs_0004122"	"0.00005981"	"2.55e-07"	"3.7652728"	"FAM83D"
"PH_hs_0048833"	"0.00005987"	"2.57e-07"	"-2.7283058"	"STK16"
"PH_hs_0011514"	"0.00006033"	"2.61e-07"	"2.5826682"	"ABCG2"
"PH_hs_0031411"	"0.00006033"	"2.63e-07"	"3.154738"	"UBE2C"
"PH_hs_0026756"	"0.00006033"	"2.64e-07"	"-3.182749"	"RRM2B"
"PH_hs_0020827"	"0.00006124"	"2.70e-07"	"2.4833537"	"CASC5"
"PH_hs_0005570"	"0.00006245"	"2.78e-07"	"3.0356768"	"CKAP2L"
"PH_hs_0035736"	"0.00006468"	"2.90e-07"	"-2.5668736"	"previous version conserved probe"
"PH_hs_0042230"	"0.00006531"	"2.94e-07"	"3.0401973"	"GTSE1"
"PH_hs_0035960"	"0.00006639"	"3.01e-07"	"2.659876"	"previous version conserved probe"
"PH_hs_0043495"	"0.00006759"	"3.11e-07"	"2.6668314"	"previous version conserved probe"
"PH_hs_0046308"	"0.00006759"	"3.11e-07"	"-3.7645082"	"FAM13C"
"PH_hs_0004341"	"0.00006841"	"3.17e-07"	"2.9022626"	"CENPE"
"PH_hs_0035980"	"0.00007002"	"3.28e-07"	"3.8111713"	"RTEL1"
"PH_hs_0000363"	"0.00007002"	"3.29e-07"	"-3.0338137"	"OPRL1"
"PH_hs_0026521"	"0.00007147"	"3.38e-07"	"3.0445334"	"TICRR"
"PH_hs_0032641"	"0.00007217"	"3.46e-07"	"2.4308451"	"INF2"
"PH_hs_0015568"	"0.00007217"	"3.47e-07"	"-3.6103035"	"CYFIP2"
"PH_hs_0031490"	"0.00007217"	"3.48e-07"	"-3.1166555"	"LOC728392"
"PH_hs_0014425"	"0.00007217"	"3.50e-07"	"2.7587055"	"NUSAP1"
"PH_hs_0024387"	"0.00007274"	"3.55e-07"	"-3.8043108"	"ZMAT3"
"PH_hs_0028200"	"0.00007332"	"3.61e-07"	"2.6444167"	"CENPI"
"PH_hs_0005532"	"0.00007332"	"3.63e-07"	"-2.5947651"	"ACSBG2"
"PH_hs_0004723"	"0.00007353"	"3.68e-07"	"-2.337113"	"KIAA0247"
"PH_hs_0030917"	"0.00007353"	"3.78e-07"	"2.3740873"	"UBE2T"
"PH_hs_0061734"	"0.00007353"	"3.78e-07"	"-2.3373319"	"LOC100506548"
"PH_hs_0062303"	"0.00007353"	"3.79e-07"	"3.138285"	"FAM72A|FAM72B|FAM72D|FAM72C|LOC101060656"
"PH_hs_0004449"	"0.00007353"	"3.81e-07"	"3.3698861"	"CENPF"
"PH_hs_0000156"	"0.00007353"	"3.82e-07"	"2.5650994"	"DUSP2"
"PH_hs_0023756"	"0.00007353"	"3.83e-07"	"3.1333254"	"KIF15"
"PH_hs_0045922"	"0.00007353"	"3.85e-07"	"3.8274153"	"TROAP"
"PH_hs_0061536"	"0.00007353"	"3.85e-07"	"-2.5474205"	"STK16"
"PH_hs_0011410"	"0.00007391"	"3.89e-07"	"-2.3360602"	"FAM212B"
"PH_hs_0014078"	"0.00007509"	"3.99e-07"	"-2.9640768"	"DHRS2"
"PH_hs_0047314"	"0.00007509"	"4.02e-07"	"-3.1862785"	"RINL"
"PH_hs_0009230"	"0.00007509"	"4.04e-07"	"2.6151461"	"ESPL1"
"PH_hs_0004330"	"0.00007509"	"4.06e-07"	"-3.3161658"	"BTG2"
"PH_hs_0000262"	"0.00007509"	"4.07e-07"	"2.6081995"	"CCNF"
"PH_hs_0037108"	"0.00007509"	"4.09e-07"	"-2.8747845"	"previous version conserved probe"
"PH_hs_0012708"	"0.00007551"	"4.15e-07"	"3.0789576"	"CHST9"
"PH_hs_0020488"	"0.00007551"	"4.18e-07"	"2.3792278"	"TRIP13"
"PH_hs_0047191"	"0.00007551"	"4.19e-07"	"-2.9374324"	"IFITM10"
"PH_hs_0011100"	"0.00007772"	"4.35e-07"	"-3.5557179"	"RNF112"
"PH_hs_0031610"	"0.00007772"	"4.37e-07"	"3.429032"	"UGT1A1|UGT1A6|UGT1A10|UGT1A8|UGT1A4|UGT1A3|UGT1A7|UGT1A9|UGT1A5"
"PH_hs_0013332"	"0.00007772"	"4.39e-07"	"-2.4842956"	"QRICH2"
"PH_hs_0028906"	"0.00008049"	"4.57e-07"	"-2.3792035"	"VIP"
"PH_hs_0046261"	"0.00008147"	"4.68e-07"	"3.1159786"	"previous version conserved probe"
"PH_hs_0034859"	"0.00008147"	"4.73e-07"	"2.6595438"	"EIF3C|EIF3CL"
"PH_hs_0031592"	"0.00008147"	"4.74e-07"	"2.7418157"	""
"PH_hs_0000937"	"0.00008147"	"4.75e-07"	"3.0505722"	"KIF11"
"PH_hs_0011421"	"0.00008147"	"4.77e-07"	"2.4666668"	"GSG2"
"PH_hs_0045819"	"0.00008147"	"4.78e-07"	"2.5741184"	"MAPK9"
"PH_hs_0030871"	"0.00008147"	"4.80e-07"	"3.2756946"	"FGFBP1"
"PH_hs_0025430"	"0.00008237"	"4.88e-07"	"2.4996165"	"CDCA7"
"PH_hs_0047550"	"0.00008421"	"5.03e-07"	"-2.8772529"	"NLRC3"
"PH_hs_0045853"	"0.00008421"	"5.04e-07"	"3.0142482"	"TTK"
"PH_hs_0006029"	"0.00008524"	"5.13e-07"	"2.7140364"	"RPS6KA5"
"PH_hs_0049714"	"0.00008649"	"5.30e-07"	"3.1097654"	"FAM72A|FAM72B|FAM72C|FAM72D|LOC101060656"
"PH_hs_0020775"	"0.00008649"	"5.37e-07"	"2.4320898"	"MCM7"
"PH_hs_0049188"	"0.00008649"	"5.38e-07"	"-2.3381293"	"previous version conserved probe"
"PH_hs_0004776"	"0.00008649"	"5.42e-07"	"2.6191509"	"CKS2"
"PH_hs_0042534"	"0.00008649"	"5.43e-07"	"-2.4241551"	"HEXIM2"
"PH_hs_0024155"	"0.00008649"	"5.48e-07"	"-3.37711"	"CDKN1A"
"PH_hs_0047720"	"0.00008649"	"5.48e-07"	"2.5506357"	"CDC25A"
"PH_hs_0025741"	"0.00008649"	"5.50e-07"	"-2.4049297"	"CAPN3"
"PH_hs_0023414"	"0.00008649"	"5.52e-07"	"2.9931806"	"POLD1"
"PH_hs_0033504"	"0.00008649"	"5.53e-07"	"-5.5932427"	"previous version conserved probe"
"PH_hs_0000059"	"0.00008649"	"5.54e-07"	"-2.5833968"	"HSD17B3"
"PH_hs_0009708"	"0.00008649"	"5.56e-07"	"2.7256143"	"B4GALNT1"
"PH_hs_0032758"	"0.00008649"	"5.56e-07"	"-2.6170875"	"CGB2|CGB1"
"PH_hs_0023785"	"0.00008916"	"5.77e-07"	"-2.9039007"	"LINC00620"
"PH_hs_0016660"	"0.00008916"	"5.79e-07"	"2.5396215"	"PRC1"
"PH_hs_0009308"	"0.00008933"	"5.86e-07"	"2.4205474"	"CYP1B1"
"PH_hs_0044418"	"0.00008933"	"5.88e-07"	"-3.1577707"	"previous version conserved probe"
"PH_hs_0023678"	"0.00008933"	"5.91e-07"	"3.8385668"	"NCAPH"
"PH_hs_0045959"	"0.00008933"	"5.91e-07"	"3.206713"	"TRIOBP"
"PH_hs_0047991"	"0.00009109"	"6.06e-07"	"-2.3591587"	"DIEXF"
"PH_hs_0000213"	"0.00009109"	"6.10e-07"	"3.2728315"	"BIRC5"
"PH_hs_0047267"	"0.00009109"	"6.14e-07"	"2.7530774"	"PTGER4"
"PH_hs_0024362"	"0.00009109"	"6.17e-07"	"2.4865276"	"BLM"
"PH_hs_0010296"	"0.00009109"	"6.17e-07"	"3.4422177"	"TROAP"
"PH_hs_0000003"	"0.0000922"	"6.28e-07"	"-2.5683966"	"LTA"
"PH_hs_0000579"	"0.00009328"	"6.40e-07"	"2.4501174"	"NCAPD2"
"PH_hs_0049619"	"0.00009328"	"6.44e-07"	"2.3899389"	"AURKAPS1|AURKA"
"PH_hs_0026681"	"0.00009328"	"6.46e-07"	"2.4164007"	"BOP1"
"PH_hs_0061915"	"0.00009328"	"6.47e-07"	"2.2939056"	"CENPO"
"PH_hs_0044610"	"0.00009343"	"6.51e-07"	"3.6350231"	"C4BPB"
"PH_hs_0061680"	"0.00009434"	"6.60e-07"	"-2.5410457"	"CYP4V2"
"PH_hs_0060324"	"0.00009491"	"6.67e-07"	"-2.729051"	"NOXRED1"
"PH_hs_0003937"	"0.00009708"	"6.86e-07"	"2.8983641"	"ANLN"
"PH_hs_0014646"	"0.00009724"	"6.90e-07"	"2.736854"	"CENPN"
"PH_hs_0023814"	"0.00009742"	"6.94e-07"	"-2.2771815"	"ARVCF"
"PH_hs_0001609"	"0.0000987"	"7.06e-07"	"2.6514487"	"ORC1"
"PH_hs_0042751"	"0.00009878"	"7.10e-07"	"2.4037446"	"BRI3BP"
"PH_hs_0048388"	"0.00010141"	"7.32e-07"	"-2.3542271"	"LDB3"
"PH_hs_0045583"	"0.0001021"	"7.42e-07"	"2.8470147"	"LAMA4"
"PH_hs_0031569"	"0.0001021"	"7.43e-07"	"2.3552412"	"TIMELESS"
"PH_hs_0046172"	"0.00010245"	"7.49e-07"	"-2.3482923"	"ALS2CR8"
"PH_hs_0006287"	"0.00010283"	"7.58e-07"	"2.5984598"	"CDC45"
"PH_hs_0049267"	"0.00010283"	"7.60e-07"	"2.4877066"	"previous version conserved probe"
"PH_hs_0015440"	"0.00010283"	"7.62e-07"	"-2.760848"	"NKPD1"
"PH_hs_0024700"	"0.00010719"	"8.03e-07"	"-3.0012049"	"TNFAIP6"
"PH_hs_0027407"	"0.00010719"	"8.04e-07"	"-2.918856"	"PROM1"
"PH_hs_0011686"	"0.00010719"	"8.05e-07"	"2.4849234"	"MCM10"
"PH_hs_0004483"	"0.00010719"	"8.08e-07"	"3.6205676"	"DLGAP5"
"PH_hs_0046215"	"0.00010773"	"8.20e-07"	"2.9012789"	"SAPCD2"
"PH_hs_0031240"	"0.00010773"	"8.21e-07"	"2.477067"	"GCAT"
"PH_hs_0033142"	"0.00010773"	"8.22e-07"	"2.7930341"	"PSRC1"
"PH_hs_0040283"	"0.00010812"	"8.28e-07"	"2.426369"	"BIRC5"
"PH_hs_0026301"	"0.00010911"	"8.39e-07"	"2.1658816"	"NRG1"
"PH_hs_0042159"	"0.00011064"	"8.54e-07"	"4.0085265"	"CREB3L3"
"PH_hs_0044932"	"0.00011124"	"8.63e-07"	"2.3511026"	"MAD2L1"
"PH_hs_0031222"	"0.0001115"	"8.72e-07"	"2.321823"	"CDCA8"
"PH_hs_0024930"	"0.0001115"	"8.73e-07"	"-2.3045261"	"F8"
"PH_hs_0047722"	"0.0001115"	"8.75e-07"	"-2.2189339"	"C9orf72"
"PH_hs_0012692"	"0.000112"	"8.83e-07"	"3.55892"	"E2F2"
"PH_hs_0026679"	"0.00011205"	"8.87e-07"	"2.6308028"	"FOXM1"
"PH_hs_0001401"	"0.00011251"	"8.94e-07"	"-2.8862225"	"CLN8"
"PH_hs_0000585"	"0.00011326"	"9.04e-07"	"2.4019361"	"IMPA2"
"PH_hs_0027185"	"0.00011326"	"9.10e-07"	"-2.6532569"	"ALOX5"
"PH_hs_0032009"	"0.00011326"	"9.10e-07"	"-2.7546581"	"NUPR1L|LOC100289098"
"PH_hs_0047480"	"0.00011593"	"9.36e-07"	"-2.5205502"	"TM7SF3"
"PH_hs_0026523"	"0.00011594"	"9.39e-07"	"-2.7018543"	"LAT"
"PH_hs_0042182"	"0.00011656"	"9.50e-07"	"2.7104974"	"FAM9B"
"PH_hs_0062082"	"0.00011656"	"9.60e-07"	"-2.9091487"	"AMY2A|AMY1A|AMY1C|AMY1B|AMY2B"
"PH_hs_0018713"	"0.00011656"	"9.60e-07"	"-2.2382344"	"previous version conserved probe"
"PH_hs_0023056"	"0.00011656"	"9.63e-07"	"2.2444089"	"STMN1"
"PH_hs_0010921"	"0.00011656"	"9.69e-07"	"2.111832"	"KATNAL1"
"PH_hs_0032260"	"0.00011656"	"9.69e-07"	"-2.5673776"	"GBP5"
"PH_hs_0010698"	"0.00011656"	"9.73e-07"	"-2.2971785"	"HIST1H2BD"
"PH_hs_0049226"	"0.00011656"	"9.74e-07"	"-2.2957478"	"TTC33"
"PH_hs_0019584"	"0.00011843"	"9.93e-07"	"-2.6443888"	"PKD1L2"
"PH_hs_0001501"	"0.000119"	"1.00e-06"	"2.4168586"	"SPAG5"
"PH_hs_0027863"	"0.000119"	"1.01e-06"	"3.1505797"	"LRRC45"
"PH_hs_0016959"	"0.00012115"	"1.03e-06"	"-2.3010007"	"C11orf45"
"PH_hs_0003767"	"0.00012115"	"1.03e-06"	"-3.446825"	"GPR87"
"PH_hs_0022184"	"0.00012115"	"1.03e-06"	"2.487307"	"TIMM13"
"PH_hs_0026645"	"0.00012396"	"1.06e-06"	"2.1248079"	"SLC25A10"
"PH_hs_0005154"	"0.00012643"	"1.09e-06"	"-2.1626919"	"DFNB31"
"PH_hs_0005148"	"0.00012668"	"1.10e-06"	"2.5227149"	"CPA4"
"PH_hs_0062199"	"0.00012668"	"1.10e-06"	"2.0987233"	"AKR1C1|LOC101060798"
"PH_hs_0027424"	"0.00012668"	"1.10e-06"	"-2.4091872"	"SPRY3"
"PH_hs_0032037"	"0.00012702"	"1.11e-06"	"3.0221714"	"GNGT2"
"PH_hs_0047026"	"0.00012707"	"1.12e-06"	"-2.8625284"	"LOC100131096"
"PH_hs_0018491"	"0.00012707"	"1.12e-06"	"2.296956"	"previous version conserved probe"
"PH_hs_0004174"	"0.00012707"	"1.13e-06"	"2.8574296"	"HMMR"
"PH_hs_0015506"	"0.00012707"	"1.13e-06"	"3.4998215"	"KIF18A"
"PH_hs_0005773"	"0.00012707"	"1.13e-06"	"3.4266691"	"TACC3"
"PH_hs_0016481"	"0.00012707"	"1.13e-06"	"2.6199729"	"FANCI"
"PH_hs_0010626"	"0.00012792"	"1.15e-06"	"-2.3192358"	"previous version conserved probe"
"PH_hs_0005195"	"0.00012847"	"1.15e-06"	"2.8410623"	"STARD8"
"PH_hs_0015814"	"0.00013014"	"1.17e-06"	"2.5245048"	"KRTAP1-5"
"PH_hs_0060129"	"0.00013015"	"1.18e-06"	"2.6886425"	"FLAD1"
"PH_hs_0043328"	"0.00013015"	"1.18e-06"	"2.4844332"	"ARHGEF39"
"PH_hs_0022269"	"0.00013015"	"1.19e-06"	"-2.889033"	"ISG20"
"PH_hs_0035763"	"0.00013033"	"1.19e-06"	"2.2801341"	"CENPO"
"PH_hs_0048147"	"0.00013033"	"1.20e-06"	"-2.4117948"	"GPR133"
"PH_hs_0017112"	"0.00013148"	"1.21e-06"	"2.410333"	"NOP9"
"PH_hs_0013980"	"0.00013148"	"1.21e-06"	"-2.7402939"	"YPEL3"
"PH_hs_0033054"	"0.00013178"	"1.22e-06"	"2.053094"	"AACSP1"
"PH_hs_0014145"	"0.00013178"	"1.23e-06"	"-2.4918106"	"TP53TG1"
"PH_hs_0003964"	"0.00013362"	"1.25e-06"	"2.9577202"	"MPP4"
"PH_hs_0010728"	"0.00013404"	"1.26e-06"	"-2.0708397"	"CTSS"
"PH_hs_0033436"	"0.00013404"	"1.26e-06"	"-2.6140037"	"NLGN3"
"PH_hs_0027206"	"0.00013404"	"1.26e-06"	"2.5848875"	"UHRF1"
"PH_hs_0046017"	"0.00013611"	"1.29e-06"	"2.7234262"	"RRP7A"
