"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0034179"	"0.4547472"	"2.30e-01"	"0.5321032"	"FMNL2"
"PH_hs_0042360"	"0.45479547"	"2.30e-01"	"-0.3097258"	"DUSP22"
"PH_hs_0024219"	"0.45488185"	"2.30e-01"	"-0.2258424"	"KPNA6"
"PH_hs_0030646"	"0.45488185"	"2.30e-01"	"-0.4673186"	"PRND"
"PH_hs_0037662"	"0.45488185"	"2.30e-01"	"0.3405002"	"previous version conserved probe"
"PH_hs_0014302"	"0.45488185"	"2.30e-01"	"-0.3858222"	"SLC45A3"
"PH_hs_0042821"	"0.45488185"	"2.30e-01"	"-0.4658327"	"OR10J3"
"PH_hs_0049726"	"0.45490202"	"2.30e-01"	"-0.2918495"	"TUBB8"
"PH_hs_0046523"	"0.45515553"	"2.30e-01"	"0.2537558"	"WDR65"
"PH_hs_0018644"	"0.45525528"	"2.30e-01"	"-0.5931635"	"TMEM145"
"PH_hs_0048064"	"0.4552568"	"2.30e-01"	"-0.3103384"	"GNAI3"
"PH_hs_0039278"	"0.4552568"	"2.30e-01"	"-0.3081129"	"CROCCP3"
"PH_hs_0008210"	"0.45525776"	"2.30e-01"	"-0.2424595"	"GK5"
"PH_hs_0041022"	"0.45526793"	"2.30e-01"	"-0.3111835"	"previous version conserved probe"
"PH_hs_0027901"	"0.45530923"	"2.31e-01"	"-0.3867923"	"previous version conserved probe"
"PH_hs_0027013"	"0.45546181"	"2.31e-01"	"-0.2889891"	""
"PH_hs_0035480"	"0.45552393"	"2.31e-01"	"-0.3554143"	"ANKIB1"
"PH_hs_0000039"	"0.45556317"	"2.31e-01"	"0.2592403"	"TARBP2"
"PH_hs_0011499"	"0.45557158"	"2.31e-01"	"-0.27207"	"BSN"
"PH_hs_0016955"	"0.45559085"	"2.31e-01"	"0.2373687"	"previous version conserved probe"
"PH_hs_0048557"	"0.45559085"	"2.31e-01"	"-0.2928921"	"PEX3"
"PH_hs_0023043"	"0.45559085"	"2.31e-01"	"-0.2624118"	"WDR72"
"PH_hs_0005795"	"0.45559085"	"2.31e-01"	"-0.2908669"	"TMEM125"
"PH_hs_0048234"	"0.45559085"	"2.31e-01"	"-0.2406772"	"SLC7A6"
"PH_hs_0031889"	"0.45562816"	"2.31e-01"	"-0.2927431"	"CHST10"
"PH_hs_0039681"	"0.4557995"	"2.31e-01"	"-0.2500638"	"CLMN"
"PH_hs_0000455"	"0.4557995"	"2.31e-01"	"-0.3000634"	"TRAM1"
"PH_hs_0012883"	"0.45591775"	"2.31e-01"	"0.2772025"	"SCYL1"
"PH_hs_0035773"	"0.4559298"	"2.31e-01"	"0.3747425"	"CC2D2A"
"PH_hs_0034547"	"0.4559298"	"2.31e-01"	"-0.3088441"	"previous version conserved probe"
